pokedex_number,abilities,name,hp,defense,attack,speed,type1,type2,classfication,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,height_m,weight_kg,generation
13,"['Shield Dust', 'Run Away']",Weedle,40,30,35,50,bug,poison,Hairy Pokémon,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,0.3,3.2,1
14,['Shed Skin'],Kakuna,45,50,25,35,bug,poison,Cocoon Pokémon,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,0.6,10.0,1
15,"['Swarm', 'Sniper']",Beedrill,65,40,150,145,bug,poison,Poison Bee Pokémon,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,1.0,29.5,1
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,40,40,45,56,normal,flying,Tiny Bird Pokémon,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,0.3,1.8,1
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,63,55,60,71,normal,flying,Bird Pokémon,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.1,30.0,1
18,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,83,80,80,121,normal,flying,Bird Pokémon,1059860,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.5,39.5,1
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,30,35,56,72,normal,dark,Mouse Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,,,1
20,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,75,70,71,77,normal,dark,Mouse Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,,,1
21,"['Keen Eye', 'Sniper']",Spearow,40,30,60,70,normal,flying,Tiny Bird Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,0.3,2.0,1
22,"['Keen Eye', 'Sniper']",Fearow,65,65,90,100,normal,flying,Beak Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.2,38.0,1
23,"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,35,44,60,55,poison,,Snake Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,2.0,6.9,1
24,"['Intimidate', 'Shed Skin', 'Unnerve']",Arbok,60,69,95,80,poison,,Cobra Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,3.5,65.0,1
25,"['Static', 'Lightningrod']",Pikachu,35,40,55,90,electric,,Mouse Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,0.4,6.0,1
26,"['Static', 'Lightningrod', 'Surge Surfer']",Raichu,60,50,85,110,electric,electric,Mouse Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,,,1
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandshrew,50,90,75,40,ground,ice,Mouse Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,,,1
28,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandslash,75,120,100,65,ground,ice,Mouse Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,,,1
29,"['Poison Point', 'Rivalry', 'Hustle']",Nidoran♀,55,52,47,41,poison,,Poison Pin Pokémon,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0.4,7.0,1
30,"['Poison Point', 'Rivalry', 'Hustle']",Nidorina,70,67,62,56,poison,,Poison Pin Pokémon,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,0,0.8,20.0,1
31,"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoqueen,90,87,92,76,poison,ground,Drill Pokémon,1059860,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,0,1.3,60.0,1
32,"['Poison Point', 'Rivalry', 'Hustle']",Nidoran♂,46,40,57,50,poison,,Poison Pin Pokémon,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,0.5,9.0,1
33,"['Poison Point', 'Rivalry', 'Hustle']",Nidorino,61,57,72,65,poison,,Poison Pin Pokémon,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,0.9,19.5,1
34,"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoking,81,77,102,85,poison,ground,Drill Pokémon,1059860,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,100,1.4,62.0,1
35,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Clefairy,70,48,45,35,fairy,,Fairy Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,0.6,7.5,1
36,"['Cute Charm', 'Magic Guard', 'Unaware']",Clefable,95,73,70,60,fairy,,Fairy Pokémon,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,1.3,40.0,1
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Vulpix,38,40,41,65,fire,ice,Fox Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,,,1
38,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Ninetales,73,75,67,109,fire,ice,Fox Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,24.6,,,1
39,"['Cute Charm', 'Competitive', 'Friend Guard']",Jigglypuff,115,20,45,20,normal,fairy,Balloon Pokémon,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,0.5,5.5,1
40,"['Cute Charm', 'Competitive', 'Frisk']",Wigglytuff,140,45,70,45,normal,fairy,Balloon Pokémon,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,1.0,12.0,1
41,"['Inner Focus', 'Infiltrator']",Zubat,40,35,45,55,poison,flying,Bat Pokémon,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,0.8,7.5,1
42,"['Inner Focus', 'Infiltrator']",Golbat,75,70,80,90,poison,flying,Bat Pokémon,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,1.6,55.0,1
43,"['Chlorophyll', 'Run Away']",Oddish,45,55,50,30,grass,poison,Weed Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.5,5.4,1
44,"['Chlorophyll', 'Stench']",Gloom,60,70,65,40,grass,poison,Weed Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.8,8.6,1
45,"['Chlorophyll', 'Effect Spore']",Vileplume,75,85,80,50,grass,poison,Flower Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,1.2,18.6,1
46,"['Effect Spore', 'Dry Skin', 'Damp']",Paras,35,55,70,25,bug,grass,Mushroom Pokémon,1000000,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,0.3,5.4,1
47,"['Effect Spore', 'Dry Skin', 'Damp']",Parasect,60,80,95,30,bug,grass,Mushroom Pokémon,1000000,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,50,1.0,29.5,1
48,"['Compoundeyes', 'Tinted Lens', 'Run Away']",Venonat,60,50,55,45,bug,poison,Insect Pokémon,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,1.0,30.0,1
49,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Venomoth,70,60,65,90,bug,poison,Poison Moth Pokémon,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,1.5,12.5,1
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Diglett,10,30,55,90,ground,ground,Mole Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,,,1
51,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Dugtrio,35,60,100,110,ground,ground,Mole Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,,,1
52,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Meowth,40,35,35,90,normal,dark,Scratch Cat Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,,,1
53,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Persian,65,60,60,115,normal,dark,Classy Cat Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,,,1
54,"['Damp', 'Cloud Nine', 'Swift Swim']",Psyduck,50,48,52,55,water,,Duck Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.8,19.6,1
55,"['Damp', 'Cloud Nine', 'Swift Swim']",Golduck,80,78,82,85,water,,Duck Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.7,76.6,1
56,"['Vital Spirit', 'Anger Point', 'Defiant']",Mankey,40,35,80,70,fighting,,Pig Monkey Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,0.5,28.0,1
57,"['Vital Spirit', 'Anger Point', 'Defiant']",Primeape,65,60,105,95,fighting,,Pig Monkey Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,1.0,32.0,1
58,"['Intimidate', 'Flash Fire', 'Justified']",Growlithe,55,45,70,60,fire,,Puppy Pokémon,1250000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,0.7,19.0,1
59,"['Intimidate', 'Flash Fire', 'Justified']",Arcanine,90,80,110,95,fire,,Legendary Pokémon,1250000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,1.9,155.0,1
60,"['Water Absorb', 'Damp', 'Swift Swim']",Poliwag,40,40,50,90,water,,Tadpole Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.6,12.4,1
61,"['Water Absorb', 'Damp', 'Swift Swim']",Poliwhirl,65,65,65,90,water,,Tadpole Pokémon,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.0,20.0,1
62,"['Water Absorb', 'Damp', 'Swift Swim']",Poliwrath,90,95,95,70,water,fighting,Tadpole Pokémon,1059860,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,50,1.3,54.0,1
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",Abra,25,15,20,90,psychic,,Psi Pokémon,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,0.9,19.5,1
64,"['Synchronize', 'Inner Focus', 'Magic Guard']",Kadabra,40,30,35,105,psychic,,Psi Pokémon,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,1.3,56.5,1
65,"['Synchronize', 'Inner Focus', 'Magic Guard']",Alakazam,55,65,50,150,psychic,,Psi Pokémon,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,1.5,48.0,1
66,"['Guts', 'No Guard', 'Steadfast']",Machop,70,50,80,35,fighting,,Superpower Pokémon,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,0.8,19.5,1
67,"['Guts', 'No Guard', 'Steadfast']",Machoke,80,70,100,45,fighting,,Superpower Pokémon,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,1.5,70.5,1
68,"['Guts', 'No Guard', 'Steadfast']",Machamp,90,80,130,55,fighting,,Superpower Pokémon,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,1.6,130.0,1
69,"['Chlorophyll', 'Gluttony']",Bellsprout,50,35,75,40,grass,poison,Flower Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.7,4.0,1
70,"['Chlorophyll', 'Gluttony']",Weepinbell,65,50,90,55,grass,poison,Flycatcher Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,1.0,6.4,1
71,"['Chlorophyll', 'Gluttony']",Victreebel,80,65,105,70,grass,poison,Flycatcher Pokémon,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,1.7,15.5,1
72,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Tentacool,40,35,40,70,water,poison,Jellyfish Pokémon,1250000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,0.9,45.5,1
73,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",Tentacruel,80,65,70,100,water,poison,Jellyfish Pokémon,1250000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,1.6,55.0,1
74,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Geodude,40,100,80,20,rock,ground,Rock Pokémon,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,,,1
75,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Graveler,55,115,95,35,rock,ground,Rock Pokémon,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,,,1
76,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",Golem,80,130,120,45,rock,ground,Megaton Pokémon,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,,,1
77,"['Run Away', 'Flash Fire', 'Flame Body']",Ponyta,50,55,85,90,fire,,Fire Horse Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,1.0,30.0,1
78,"['Run Away', 'Flash Fire', 'Flame Body']",Rapidash,65,70,100,105,fire,,Fire Horse Pokémon,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,1.7,95.0,1
79,"['Oblivious', 'Own Tempo', 'Regenerator']",Slowpoke,90,65,65,15,water,psychic,Dopey Pokémon,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,1.2,36.0,1
80,"['Oblivious', 'Own Tempo', 'Regenerator']",Slowbro,95,180,75,30,water,psychic,Hermit Crab Pokémon,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,1.6,78.5,1
81,"['Magnet Pull', 'Sturdy', 'Analytic']",Magnemite,25,70,35,45,electric,steel,Magnet Pokémon,1000000,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,0.3,6.0,1
82,"['Magnet Pull', 'Sturdy', 'Analytic']",Magneton,50,95,60,70,electric,steel,Magnet Pokémon,1000000,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,1.0,60.0,1
83,"['Keen Eye', 'Inner Focus', 'Defiant']",Farfetch'd,52,55,90,60,normal,flying,Wild Duck Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,0.8,15.0,1
84,"['Run Away', 'Early Bird', 'Tangled Feet']",Doduo,35,45,85,75,normal,flying,Twin Bird Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.4,39.2,1
85,"['Run Away', 'Early Bird', 'Tangled Feet']",Dodrio,60,70,110,110,normal,flying,Triple Bird Pokémon,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,1.8,85.2,1
86,"['Thick Fat', 'Hydration', 'Ice Body']",Seel,65,55,45,45,water,,Sea Lion Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.1,90.0,1
87,"['Thick Fat', 'Hydration', 'Ice Body']",Dewgong,90,80,70,70,water,ice,Sea Lion Pokémon,1000000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,1.7,120.0,1
88,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Grimer,80,50,80,25,poison,poison,Sludge Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,,,1
89,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",Muk,105,75,105,50,poison,poison,Sludge Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,,,1
90,"['Shell Armor', 'Skill Link', 'Overcoat']",Shellder,30,100,65,40,water,,Bivalve Pokémon,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.3,4.0,1
91,"['Shell Armor', 'Skill Link', 'Overcoat']",Cloyster,50,180,95,70,water,ice,Bivalve Pokémon,1250000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,1.5,132.5,1
92,['Levitate'],Gastly,30,30,35,80,ghost,poison,Gas Pokémon,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,1.3,0.1,1
93,['Levitate'],Haunter,45,45,50,95,ghost,poison,Gas Pokémon,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,1.6,0.1,1
94,['Cursed Body'],Gengar,60,80,65,130,ghost,poison,Shadow Pokémon,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,1.5,40.5,1
95,"['Rock Head', 'Sturdy', 'Weak Armor']",Onix,35,160,45,70,rock,ground,Rock Snake Pokémon,1000000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,8.8,210.0,1
96,"['Insomnia', 'Forewarn', 'Inner Focus']",Drowzee,60,45,48,42,psychic,,Hypnosis Pokémon,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,1.0,32.4,1
97,"['Insomnia', 'Forewarn', 'Inner Focus']",Hypno,85,70,73,67,psychic,,Hypnosis Pokémon,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,1.6,75.6,1
98,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Krabby,30,90,105,50,water,,River Crab Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.4,6.5,1
99,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Kingler,55,115,130,75,water,,Pincer Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1.3,60.0,1
100,"['Soundproof', 'Static', 'Aftermath']",Voltorb,40,50,30,100,electric,,Ball Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,0.5,10.4,1
101,"['Soundproof', 'Static', 'Aftermath']",Electrode,60,70,50,150,electric,,Ball Pokémon,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,1.2,66.6,1
102,"['Chlorophyll', 'Harvest']",Exeggcute,60,80,40,40,grass,psychic,Egg Pokémon,1250000,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,0.4,2.5,1
103,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",Exeggutor,95,85,105,45,grass,psychic,Coconut Pokémon,1250000,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,,,1
104,"['Rock Head', 'Lightningrod', 'Battle Armor']",Cubone,50,95,50,35,ground,,Lonely Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.4,6.5,1
105,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",Marowak,60,110,80,45,ground,fire,Bone Keeper Pokémon,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,,,1
106,"['Limber', 'Reckless', 'Unburden']",Hitmonlee,50,53,120,87,fighting,,Kicking Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,1.5,49.8,1
107,"['Keen Eye', 'Iron Fist', 'Inner Focus']",Hitmonchan,50,79,105,76,fighting,,Punching Pokémon,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,1.4,50.2,1
108,"['Own Tempo', 'Oblivious', 'Cloud Nine']",Lickitung,90,75,55,30,normal,,Licking Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,1.2,65.5,1
109,['Levitate'],Koffing,40,95,65,35,poison,,Poison Gas Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,0.6,1.0,1
110,['Levitate'],Weezing,65,120,90,60,poison,,Poison Gas Pokémon,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,1.2,9.5,1
111,"['Lightningrod', 'Rock Head', 'Reckless']",Rhyhorn,80,95,85,25,ground,rock,Spikes Pokémon,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,1.0,115.0,1
112,"['Lightningrod', 'Rock Head', 'Reckless']",Rhydon,105,120,130,40,ground,rock,Drill Pokémon,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,1.9,120.0,1
113,"['Natural Cure', 'Serene Grace', 'Healer']",Chansey,250,5,5,50,normal,,Egg Pokémon,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1.1,34.6,1
114,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",Tangela,65,115,55,60,grass,,Vine Pokémon,1000000,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,1.0,35.0,1
115,"['Early Bird', 'Scrappy', 'Inner Focus']",Kangaskhan,105,100,125,100,normal,,Parent Pokémon,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,2.2,80.0,1
116,"['Swift Swim', 'Sniper', 'Damp']",Horsea,30,70,40,60,water,,Dragon Pokémon,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.4,8.0,1
